종목코드,종목명
A005930,삼성전자
A000660,SK하이닉스
A005935,삼성전자우
A373220,LG에너지솔루션
A005380,현대차
A207940,삼성바이오로직스
A402340,SK스퀘어
A000270,기아
A068270,셀트리온
A005490,POSCO홀딩스
A035420,NAVER
A051910,LG화학
A105560,KB금융
A006400,삼성SDI
A012330,현대모비스
A055550,신한지주
A035720,카카오
A086790,하나금융지주
A028260,삼성물산
A066570,LG전자
A033780,KT&G
A267260,HD현대일렉트릭
A003490,대한항공
A032830,삼성생명
A096770,SK이노베이션
A329180,HD현대중공업
A018260,삼성에스디에스
A316140,우리금융지주
A015760,한국전력
A450080,에코프로머티
A051900,LG생활건강
A034730,SK
A000810,삼성화재
A024110,기업은행
A090430,아모레퍼시픽
A030200,KT
A009540,HD한국조선해양
A086280,현대글로비스
A078930,GS
A012450,한화에어로스페이스
A326030,SK바이오팜
A097950,CJ제일제당
A003230,삼양식품
A009830,한화솔루션
A006360,GS건설
A017670,SK텔레콤
A001570,금양
A000720,현대건설
A010140,삼성중공업
A323410,카카오뱅크
A247540,에코프로비엠
A086520,에코프로
A196170,알테오젠
A058470,리노공업
A141080,리가켐바이오
A240810,원익IPS
A036930,주성엔지니어링
A039030,이오테크닉스
A095340,ISC
A403870,HPSP
A222800,심텍
A214150,클래시스
A145020,휴젤
A357780,솔브레인
A214450,파마리서치
A263750,펄어비스
A064760,티씨케이
A237690,에스티팜
A319660,피에스케이
A131970,두산테스나
A140860,파크시스템스
A035900,JYP Ent.
A041510,에스엠
A166090,하나머티리얼즈
A183300,코미코
A003380,하림지주
A195940,HK이노엔
A036830,솔브레인홀딩스
A137400,피엔티
A222080,씨아이에스
A213420,덕산네오룩스
A056190,에스에프에이
A035760,CJ ENM
A046890,서울반도체
A074600,원익QnC
A086450,동국제약
A293490,카카오게임즈
A253450,스튜디오드래곤
A009520,포스코엠텍
A272290,이녹스첨단소재
A348210,넥스틴
A067160,SOOP
A025900,동화기업
A393890,더블유씨피
A215200,메가스터디교육
A030520,한글과컴퓨터
A091700,파트론
A069080,웹젠
A084850,아이티엠반도체
A078340,컴투스
